iter	Passed	Remaining
455	1005	1200
456	1008	1198
457	1010	1195
458	1012	1193
459	1014	1191
460	1016	1188
461	1018	1186
462	1020	1183
463	1023	1181
464	1025	1179
465	1027	1177
466	1029	1175
467	1031	1172
468	1033	1169
469	1035	1167
470	1037	1165
471	1039	1163
472	1041	1160
473	1043	1158
474	1045	1156
475	1047	1153
476	1050	1151
477	1052	1148
478	1054	1146
479	1056	1144
480	1058	1142
481	1060	1140
482	1062	1137
483	1064	1134
484	1066	1132
485	1068	1130
486	1070	1127
487	1072	1125
488	1075	1123
489	1077	1121
490	1079	1119
491	1081	1116
492	1085	1116
493	1087	1114
494	1090	1112
495	1092	1109
496	1094	1107
497	1096	1104
498	1098	1102
499	1100	1100
500	1102	1098
501	1105	1096
502	1107	1094
503	1109	1091
504	1111	1089
505	1113	1087
506	1115	1085
507	1118	1083
508	1120	1080
509	1122	1078
510	1124	1076
511	1127	1074
512	1129	1072
513	1131	1069
514	1133	1067
515	1135	1065
516	1137	1063
517	1140	1060
518	1142	1058
519	1144	1056
520	1146	1054
521	1148	1051
522	1150	1049
523	1153	1047
524	1155	1045
525	1157	1043
526	1159	1040
527	1161	1038
528	1164	1036
529	1166	1034
530	1168	1032
531	1171	1030
532	1173	1027
533	1175	1025
534	1177	1023
535	1179	1020
536	1181	1018
537	1183	1016
538	1185	1014
539	1187	1011
540	1189	1009
541	1191	1007
542	1193	1004
543	1196	1002
544	1198	1000
545	1200	998
546	1203	996
547	1205	993
548	1207	991
549	1209	989
550	1211	986
551	1213	984
552	1215	982
553	1217	980
554	1219	977
555	1221	975
556	1223	973
557	1225	970
558	1228	968
559	1230	966
560	1232	964
561	1234	962
562	1236	959
563	1238	957
564	1240	955
565	1242	953
566	1245	951
567	1247	948
568	1249	946
569	1252	944
570	1254	942
571	1256	939
572	1257	937
573	1260	935
574	1262	933
575	1264	930
576	1267	928
577	1269	926
578	1270	924
579	1272	921
580	1274	919
581	1277	917
582	1279	915
583	1281	912
584	1283	910
585	1285	908
586	1287	906
587	1290	904
588	1292	901
589	1294	899
590	1296	897
591	1298	895
592	1300	892
593	1302	890
594	1305	888
595	1307	886
596	1309	884
597	1312	882
598	1314	880
599	1316	877
600	1318	875
601	1320	872
602	1322	870
603	1324	868
604	1326	866
605	1328	864
606	1331	861
607	1333	859
608	1335	857
609	1337	855
610	1340	853
611	1342	851
612	1344	848
613	1346	846
614	1348	844
615	1350	841
616	1352	839
617	1354	837
618	1356	835
619	1359	833
620	1361	830
621	1363	828
622	1365	826
623	1367	824
624	1369	821
625	1372	819
626	1374	817
627	1376	815
628	1378	813
629	1380	810
630	1382	808
631	1385	806
632	1387	804
633	1389	802
634	1391	800
635	1394	797
636	1395	795
637	1398	793
638	1400	791
639	1402	788
640	1404	786
641	1406	784
642	1409	782
643	1411	780
644	1413	777
645	1415	775
646	1417	773
647	1419	770
648	1421	768
649	1423	766
650	1426	764
651	1428	762
652	1430	760
653	1432	757
654	1434	755
655	1437	753
656	1439	751
657	1441	749
658	1443	746
659	1445	744
660	1447	742
661	1449	740
662	1451	737
663	1454	735
664	1456	733
665	1458	731
666	1460	729
667	1462	726
668	1464	724
669	1466	722
670	1468	720
671	1471	718
672	1473	715
673	1475	713
674	1477	711
675	1479	709
676	1481	706
677	1483	704
678	1486	702
679	1488	700
680	1490	698
681	1492	695
682	1494	693
683	1496	691
684	1498	689
685	1500	687
686	1503	684
687	1505	682
688	1507	680
689	1509	678
690	1511	675
691	1513	673
692	1515	671
693	1517	669
694	1519	667
695	1521	664
696	1524	662
697	1526	660
698	1528	658
699	1530	656
700	1533	653
701	1535	651
702	1537	649
703	1539	647
704	1541	645
705	1543	642
706	1545	640
707	1548	638
708	1550	636
709	1552	634
710	1554	631
711	1556	629
712	1559	627
713	1561	625
714	1563	623
715	1565	621
716	1568	618
717	1570	616
718	1572	614
719	1574	612
720	1576	610
721	1578	607
722	1581	605
723	1583	603
724	1585	601
725	1587	599
726	1589	596
727	1591	594
728	1593	592
729	1596	590
730	1598	588
731	1600	585
732	1602	583
733	1604	581
734	1606	579
735	1608	577
736	1610	574
737	1612	572
738	1615	570
739	1617	568
740	1619	566
741	1621	563
742	1623	561
743	1626	559
744	1628	557
745	1630	555
746	1632	552
747	1634	550
748	1636	548
749	1638	546
750	1640	544
751	1643	541
752	1645	539
753	1647	537
754	1649	535
755	1651	533
756	1654	530
757	1656	528
758	1658	526
759	1660	524
760	1662	522
761	1664	520
762	1667	517
763	1669	515
764	1671	513
765	1673	511
766	1676	509
767	1678	506
768	1680	504
769	1682	502
770	1684	500
771	1686	498
772	1688	495
773	1690	493
774	1693	491
775	1695	489
776	1697	487
777	1699	484
778	1701	482
779	1703	480
780	1705	478
781	1708	476
782	1710	474
783	1712	471
784	1714	469
785	1717	467
786	1719	465
787	1722	463
788	1724	461
789	1726	458
790	1728	456
791	1730	454
792	1732	452
793	1734	450
794	1737	447
795	1739	445
796	1741	443
797	1743	441
798	1745	439
799	1747	436
800	1749	434
801	1752	432
802	1754	430
803	1756	428
804	1758	426
805	1760	423
806	1762	421
807	1764	419
808	1766	417
809	1769	414
810	1771	412
811	1773	410
812	1775	408
813	1777	406
814	1779	403
815	1781	401
816	1783	399
817	1785	397
818	1788	395
819	1790	392
820	1792	390
821	1794	388
822	1796	386
823	1798	384
824	1800	381
825	1802	379
826	1804	377
827	1806	375
828	1809	373
829	1811	370
830	1813	368
831	1815	366
832	1818	364
833	1820	362
834	1822	360
835	1824	357
836	1826	355
837	1829	353
838	1831	351
839	1833	349
840	1836	347
841	1838	344
842	1840	342
843	1842	340
844	1844	338
845	1847	336
846	1849	334
847	1851	331
848	1853	329
849	1855	327
850	1858	325
851	1860	323
852	1863	321
853	1865	318
854	1867	316
855	1869	314
856	1871	312
857	1873	310
858	1876	307
859	1878	305
860	1880	303
861	1882	301
862	1885	299
863	1887	297
864	1889	294
865	1891	292
866	1893	290
867	1896	288
868	1898	286
869	1900	283
870	1902	281
871	1904	279
872	1906	277
873	1908	275
874	1910	272
875	1912	270
876	1914	268
877	1916	266
878	1918	264
879	1920	261
880	1922	259
881	1925	257
882	1927	255
883	1929	253
884	1932	251
885	1934	248
886	1936	246
887	1938	244
888	1940	242
889	1942	240
890	1945	237
891	1947	235
892	1949	233
893	1951	231
894	1953	229
895	1955	226
896	1957	224
897	1960	222
898	1962	220
899	1964	218
900	1966	216
901	1968	213
902	1970	211
903	1973	209
904	1975	207
905	1977	205
906	1980	203
907	1982	200
908	1984	198
909	1986	196
910	1988	194
911	1991	192
912	1993	189
913	1995	187
914	1997	185
915	1999	183
916	2001	181
917	2004	179
918	2006	176
919	2008	174
920	2010	172
921	2012	170
922	2014	168
923	2017	165
924	2019	163
925	2021	161
926	2023	159
927	2026	157
928	2027	154
929	2029	152
930	2032	150
931	2034	148
932	2036	146
933	2039	144
934	2041	141
935	2043	139
936	2045	137
937	2047	135
938	2049	133
939	2051	130
940	2054	128
941	2056	126
942	2058	124
943	2060	122
944	2062	120
945	2064	117
946	2066	115
947	2069	113
948	2071	111
949	2074	109
950	2076	106
951	2078	104
952	2080	102
953	2082	100
954	2085	98
955	2087	96
956	2089	93
957	2092	91
958	2094	89
959	2096	87
960	2098	85
961	2101	82
962	2103	80
963	2105	78
964	2107	76
965	2109	74
966	2111	72
967	2114	69
968	2116	67
969	2118	65
970	2120	63
971	2122	61
972	2124	58
973	2126	56
974	2128	54
975	2131	52
976	2133	50
977	2135	48
978	2137	45
979	2139	43
980	2141	41
981	2143	39
982	2146	37
983	2148	34
984	2150	32
985	2152	30
986	2154	28
987	2156	26
988	2158	24
989	2161	21
990	2163	19
991	2165	17
992	2167	15
993	2169	13
994	2171	10
995	2174	8
996	2176	6
997	2178	4
998	2180	2
999	2182	0
